210964,0,256,22095,0,13,13,1,255,255,1,0.01
89621,0,45,132,0,121,201,1,255,254,1,0
155900,0,221,4675,0,1,29,1,23,255,1,0.04
282616,0,310,460,0,16,29,1,76,255,1,0.01
309666,0,105,147,0,2,2,1,255,254,1,0.01
148365,0,243,1083,0,4,19,1,24,255,1,0.04
95339,0,165,429,0,1,1,1,24,24,1,0.04
92817,0,252,1587,0,2,2,1,255,255,1,0
285936,0,1907,401,0,1,1,1,255,11,0.04,0
80864,0,252,273525,0,1,1,1,255,222,0.87,0
211420,0,328,1197,0,2,10,1,255,255,1,0
153398,0,327,3200,0,11,12,1,181,255,1,0.01
146732,0,204,790,0,16,16,1,255,255,1,0
214150,0,105,0,0,1,1,1,255,253,0.99,0
94267,0,335,585,0,25,25,1,255,255,1,0
93144,0,257,1656,0,4,4,1,60,255,1,0.02
290017,0,105,147,0,2,2,1,255,254,1,0
287651,0,315,1085,0,6,6,1,156,255,1,0.01
230118,0,52,54,0,508,508,1,255,255,1,0.8
97632,0,46,151,0,75,155,1,255,255,1,0
233008,0,42,42,0,6,8,1,255,255,1,0.02
39167,0,42,42,0,8,13,1,255,248,0.97,0.01
75239,0,105,146,0,2,2,1,255,252,0.99,0
212878,0,245,1255,0,11,11,1,255,255,1,0
77738,0,288,5467,0,19,21,1,21,255,1,0.05
174757,0,202,429,0,23,23,1,187,255,1,0.01
140783,0,210,545,0,10,10,1,21,250,1,0.05
142573,0,105,146,0,2,2,1,255,254,1,0
100499,0,46,117,0,1,2,1,255,251,0.98,0
101556,0,206,564,0,14,14,1,99,160,1,0.01
89607,0,44,132,0,146,226,0.99,255,254,1,0
80573,0,1,0,0,142,7,0.05,255,7,0.03,1
36369,0,205,6924,0,19,38,1,255,255,1,0
98089,0,105,147,0,2,2,1,255,254,1,0.01
212940,0,223,4416,0,12,12,1,93,255,1,0.01
214851,0,216,2702,0,1,13,1,30,255,1,0.03
132672,0,105,146,0,2,2,1,255,254,1,0.01
212506,0,307,290,0,10,10,1,79,255,1,0.01
226793,0,209,61575,0,16,16,1,50,255,1,0.02
228089,0,1305,329,0,1,3,1,242,149,0.62,0
229249,0,105,0,0,4,4,1,255,255,1,0.01
148403,0,105,0,0,1,1,1,255,253,0.99,0
35800,0,305,260,0,4,4,1,255,8,0.03,0
286306,0,234,7792,0,1,2,1,130,255,1,0.01
39081,0,300,2205,0,16,16,1,84,255,1,0.01
177945,0,105,0,0,1,1,1,255,253,0.99,0
225772,0,198,601,0,5,5,1,35,255,1,0.03
231748,0,192,0,0,2,2,1,93,51,0.09,0.09
417,1,5862,332,0,1,2,1,84,139,0.74,0.01
290898,0,223,11079,0,15,15,1,255,255,1,0
101474,0,320,321,0,10,18,1,255,255,1,0
286967,0,199,1025,0,5,17,1,5,77,1,0.2
149968,0,105,0,0,1,1,1,255,253,0.99,0
82563,0,312,10667,0,3,3,1,25,255,1,0.04
287699,0,174,7961,0,3,3,1,217,255,1,0
145054,0,162,143,0,1,1,1,3,255,1,0.33
137626,0,214,6748,0,30,37,1,110,255,1,0.01
77282,0,229,10892,0,16,16,1,66,247,1,0.02
40112,0,2291,326,0,1,1,1,255,128,0.5,0
40323,0,288,791,0,54,54,1,255,255,1,0.01
214453,0,105,0,0,1,1,1,255,253,0.99,0
92788,0,235,34291,0,1,2,1,255,255,1,0
230030,0,54,56,0,510,510,1,255,255,1,0.87
290685,0,105,147,0,1,1,1,255,254,1,0.01
232869,0,238,460,0,16,16,1,36,255,1,0.03
99044,0,222,1099,0,5,6,1,49,255,1,0.02
92702,0,294,317,0,18,35,1,255,255,1,0
82858,0,360,784,0,2,2,1,216,253,1,0
146550,0,105,0,0,1,1,1,255,252,0.99,0
99402,0,247,188,0,1,4,1,72,240,1,0.01
136662,0,105,146,0,1,1,1,255,254,1,0
100287,0,296,431,0,2,2,1,57,255,1,0.02
289563,0,314,1075,0,9,9,1,9,255,1,0.11
154053,0,105,0,0,1,1,1,255,253,0.99,0
93730,0,198,1433,0,12,16,1,255,255,1,0
